CommunityID,Members,MotherID,FunIntegration,Coverage,CommunityScore,Round
com1,"[250, 256, 34, 68, 83]",com0,0.06759934413580247,15,,0
com2,"[25, 21, 34, 35, 45, 54, 1, 62, 65, 68, 69, 202, 74, 83, 84, 88, 87, 205, 90, 101, 129, 117, 8, 10, 17, 20, 137, 133, 53, 63, 92, 174, 106, 103, 125, 250, 256, 252, 209]",com0,0.05957104361993067,21,,0
com3,"[1, 10, 103, 117, 125, 129, 133, 137, 17, 20, 205, 21, 25, 252, 34, 35, 45, 53, 65, 68, 74, 88]",com0,0.050805717959098266,18,,0
com4,"[103, 106, 129, 174, 20, 21, 250, 34, 54, 69, 83, 84, 87]",com0,0.06860438899354553,21,,0
com5,"[1, 10, 103, 106, 125, 133, 137, 17, 20, 205, 209, 21, 25, 250, 252, 256, 34, 35, 53, 54, 62, 65, 74, 8, 83, 84, 87, 88, 90, 92]",com0,0.06461453473425041,21,,0
com6,"[1, 129, 137, 174, 20, 202, 205, 25, 250, 252, 34, 74]",com0,0.0629863100458188,15,,0
com7,"[103, 250, 34, 45, 63, 87, 90]",com0,0.05960421283183649,20,,0
com8,"[101, 117, 125, 129, 17, 174, 205, 25, 252, 256, 45, 62, 68, 74, 84, 90, 92]",com0,0.062315638606293355,17,,0
com9,"[1, 10, 101, 103, 106, 117, 125, 129, 133, 137, 174, 20, 202, 205, 209, 21, 252, 34, 35, 45, 53, 62, 63, 65, 68, 69, 74, 8, 83, 84, 87, 88, 90, 92]",com0,0.05464522436396969,19,,0
com10,"[1, 10, 103, 106, 129, 202, 25, 250, 252, 256, 34, 35, 45, 62, 74, 83, 84, 87, 88]",com0,0.06773367922847322,21,,0
com11,"[1, 10, 103, 106, 125, 137, 17, 174, 20, 205, 21, 250, 252, 256, 54, 63, 65, 68, 8, 83, 84, 87, 88, 90, 92]",com0,0.06688307225848308,21,,0
com12,"[1, 117, 205, 252, 34, 69, 8, 88]",com0,0.04941860885510667,13,,0
com13,"[1, 106, 205, 252, 45, 54, 84, 88, 92]",com0,0.07595171220026545,17,,0
com14,"[1, 10, 103, 106, 117, 129, 133, 137, 174, 20, 202, 205, 21, 25, 256, 45, 53, 62, 68, 69, 74, 8, 84, 87, 88, 90]",com0,0.049744376314476216,18,,0
com15,"[10, 101, 106, 117, 20, 202, 205, 25, 250, 35, 62, 63, 68, 83, 84, 90]",com0,0.05565495218148985,20,,0
com16,"[125, 250, 256, 34, 35, 65, 83, 84, 90, 92]",com0,0.08013671424216691,20,,0
com17,"[1, 10, 133, 174, 202, 205, 252, 35, 63, 74, 8, 84, 90]",com0,0.05565369016005908,18,,0
com18,"[1, 10, 103, 106, 117, 125, 133, 17, 174, 20, 202, 205, 21, 25, 252, 256, 34, 35, 45, 54, 62, 65, 68, 74, 8, 84, 87, 90, 92]",com0,0.0582818751964858,18,,0
com19,"[103, 106, 117, 133, 174, 20, 202, 205, 209, 21, 25, 250, 252, 34, 45, 63, 65, 68, 69, 74, 83, 84]",com0,0.059029562489379996,21,,0
com20,"[106, 205, 250, 35, 54]",com0,0.09054453210730269,18,,0
com21,"[1, 10, 101, 103, 106, 117, 125, 129, 133, 137, 17, 174, 202, 205, 209, 21, 25, 250, 252, 256, 34, 35, 45, 54, 62, 63, 68, 69, 74, 8, 83, 84, 87, 88, 90, 92]",com0,0.061674805703863377,21,,0
com22,"[205, 25, 256, 45, 53, 63, 90]",com0,0.05213663072782696,16,,0
com23,"[1, 10, 103, 133, 17, 20, 202, 21, 252, 34, 35, 53, 54, 68, 74, 8, 84, 87, 90]",com0,0.050441757019000846,18,,0
com24,"[1, 10, 101, 103, 106, 125, 137, 17, 174, 20, 202, 205, 209, 21, 25, 250, 252, 256, 35, 45, 53, 54, 62, 63, 68, 69, 74, 8, 83, 84, 88, 90, 92]",com0,0.06385850577881666,21,,0
com25,"[1, 101, 106, 117, 125, 129, 133, 17, 174, 20, 205, 21, 25, 250, 252, 256, 34, 53, 54, 63, 68, 69, 74, 8, 83, 84, 87]",com0,0.057911901332603495,20,,0
com26,"[1, 103, 106, 125, 133, 17, 174, 209, 21, 25, 252, 34, 53, 54, 62, 63, 65, 68, 69, 74, 8, 83, 87, 92]",com0,0.058290755037158117,19,,0
