CommunityID,Members,MotherID,FunIntegration,Coverage,CommunityScore,Round
com1,"129, 256, 34, 8, 87",com0,0.060000463,15,0.107538601,0
com2,"25, 21, 34, 35, 45, 54, 1, 62, 65, 68, 69, 202, 74, 83, 84, 88, 87, 205, 90, 101, 129, 117, 8, 10, 17, 20, 137, 133, 53, 63, 92, 174, 106, 103, 125, 250, 256, 252, 209",com0,0.059571044,21,0.122615804,0
com3,"1, 103, 106, 133, 174, 20, 202, 205, 25, 256, 35, 45, 53, 54, 62, 69, 74, 8, 87, 88, 90, 92",com0,0.055859514,18,0.175308642,0
com4,"1, 103, 106, 125, 174, 25, 250, 252, 65, 74, 8, 83, 84",com0,0.074112435,21,0.119891008,0
com5,"1, 103, 106, 125, 129, 137, 17, 174, 20, 205, 209, 21, 25, 250, 252, 256, 35, 45, 62, 63, 65, 68, 69, 74, 8, 83, 84, 87, 90, 92",com0,0.064846163,21,0.111026242,0
com6,"10, 101, 17, 202, 209, 250, 83",com0,0.072186072,21,0.094339623,0
com7,"101, 202, 21, 25, 256, 65, 68, 69, 74, 90",com0,0.048128208,13,0.064690027,0
com8,"10, 101, 106, 117, 125, 129, 174, 21, 256, 45, 68, 74, 8, 84, 88, 90, 92",com0,0.06267161,17,0.188679245,0
com9,"1, 10, 101, 103, 125, 129, 133, 137, 17, 174, 20, 202, 205, 209, 21, 25, 252, 256, 34, 35, 45, 53, 54, 62, 63, 65, 68, 69, 74, 8, 87, 88, 90, 92",com0,0.055871223,19,0.194070081,0
com10,"117, 20, 202, 205, 250, 53, 65, 83, 88, 90",com0,0.053404854,18,-4.41E-05,0
com11,"1, 103, 106, 125, 174, 20, 205, 209, 21, 250, 252, 256, 34, 35, 63, 65, 68, 87, 90",com0,0.067778424,21,0.160493827,0
com12,"1, 106, 117, 129, 133, 137, 17, 20, 202, 205, 209, 21, 250, 252, 256, 35, 45, 54, 62, 63, 68, 69, 83, 87, 92",com0,0.06611673,21,0.017072022,0
com13,"129, 25, 256, 62, 88",com0,0.058368056,11,0.046321526,0
com14,"1, 101, 106, 117, 125, 129, 137, 174, 20, 202, 209, 21, 25, 252, 256, 34, 45, 53, 54, 65, 68, 69, 8, 84, 87, 88, 90, 92",com0,0.057119112,18,0.050599675,0
com15,"1, 117, 129, 202, 21, 25, 256, 35, 54, 62, 65, 68, 88",com0,0.055995262,16,0.002469136,0
com16,"10, 101, 117, 17, 205, 21, 250, 34, 35, 53, 74, 8, 83, 84, 87, 88",com0,0.053680828,20,0.066666667,0
com17,"1, 10, 101, 129, 250, 35",com0,0.068021515,18,-0.043672424,0
com18,"1, 101, 106, 129, 137, 174, 20, 202, 205, 21, 252, 256, 34, 35, 45, 53, 62, 63, 69, 74, 83, 87, 88, 90, 92",com0,0.061899535,18,0.080862534,0
com19,"101, 103, 106, 117, 125, 133, 137, 20, 202, 205, 21, 250, 256, 53, 54, 62, 63, 68, 69, 74, 84, 88",com0,0.059608226,21,0.017283951,0
com20,"1, 10, 101, 106, 117, 125, 129, 133, 137, 17, 174, 205, 21, 25, 256, 34, 35, 45, 53, 54, 62, 63, 65, 68, 69, 8, 83, 84, 88, 90, 92",com0,0.053753533,18,0.105121294,0
com21,"133, 205, 21, 25, 256, 53, 8, 83",com0,0.054825733,15,-0.026408439,0
com22,"1, 10, 101, 103, 106, 117, 125, 129, 133, 137, 17, 174, 20, 202, 209, 21, 250, 252, 256, 34, 35, 45, 54, 62, 63, 65, 68, 69, 74, 8, 83, 84, 87, 88, 90, 92",com0,0.062067984,21,0.081481481,0
com23,"101, 137, 174, 252, 65, 88",com0,0.075400438,13,0.059259259,0
com24,"125, 133, 202, 205, 250, 256, 65, 68, 69, 84, 88, 92",com0,0.063885094,19,0.049046322,0
com25,"1, 10, 101, 117, 133, 137, 25, 256, 34, 35, 45, 63, 68, 69, 74, 8, 83, 90, 92",com0,0.054972506,18,0.2,0
com26,"1, 10, 101, 103, 106, 117, 125, 137, 17, 174, 20, 205, 209, 21, 25, 250, 252, 256, 34, 35, 53, 54, 62, 65, 68, 69, 74, 8, 83, 84, 87, 90, 92",com0,0.06273898,21,0.239506173,0
com27,"1, 10, 101, 103, 106, 117, 125, 129, 133, 137, 17, 174, 20, 202, 205, 209, 25, 252, 256, 34, 35, 45, 53, 54, 62, 63, 65, 68, 69, 74, 8, 83, 84, 87, 88, 90, 92",com0,0.057193202,19,0.277929155,0
com28,"1, 10, 101, 106, 133, 137, 20, 205, 209, 25, 256, 45, 62, 87, 90",com0,0.058256599,18,-0.002469136,0
com29,"174, 205, 250, 34, 63, 74, 8, 83",com0,0.064987872,19,0.117250674,0
com30,"1, 10, 101, 103, 106, 117, 129, 137, 17, 20, 202, 209, 21, 25, 250, 252, 34, 35, 45, 53, 62, 68, 69, 74, 8, 87, 90",com0,0.055915987,20,0,0
com31,"103, 106, 129, 137, 250, 65, 74, 8, 87, 92",com0,0.07497743,20,0.02345679,0
com32,"1, 101, 103, 20, 21, 252, 65, 74, 88, 92",com0,0.066973856,15,0.085185185,0
com33,"103, 106, 174, 21, 25, 250, 62, 92",com0,0.073699049,17,0.118558451,0
com34,"1, 101, 202, 252, 62, 74, 84, 90",com0,0.055483428,13,0.117166213,0
