Gene,Genome,Gene_Count,Path,Activity,Trophic_level,Substrate,Product,Enzymatic_Activity,iso_index
GH13,Basfia_succiniciproducens_strain_DSM_22022,3,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",133
GH13,Bifidobacterium_adolescentis_L2,15,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",25
GH13,Blautia_schinkii_DSM_10518_T506,10,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",21
GH13,Butyrivibrio_fibrosolvens_CF3,7,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",34
GH13,Butyrivibrio_hungatei_DSMZ_10295,6,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",35
GH13,Clostridium_aerotolerans_DSM_5434_T546,6,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",45
GH13,Clostridium_aminophilim_F,2,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",53
GH13,Clostridium_butyricum_5001,11,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",54
GH13,Enterococcus_faecalis_V583_DSM_8629,3,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",1
GH13,Faecalibacterium_prausnitzii_DSM_17677,4,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",62
GH13,Fusobacterium_necrophorum_Hun048,1,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",63
GH13,Kandleria_vitulina_DSM_20405_T513,4,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",65
GH13,Lactobacillus_rhamnosus_GG_whole_genome_sequence,4,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",68
GH13,Lactobacillus_ruminis_DSM_20403_NBRC_102161_strain_DSM_20403,4,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",69
GH13,Lactococcus_lactis_subsp._lactis_HUN043,7,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",202
GH13,Megamonas_sp_Calf98_2,6,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",74
GH13,Megasphaera_elsdenii_DSM_20460,2,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",83
GH13,Peptostreptococcus_anaerobius_strain_C,1,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",84
GH13,Prevotella_albensis_DSM_11370_JCM_12258_strain_DSM_11370_K333,5,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",92
GH13,prevotella_bryantii,5,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",174
GH13,Propionibacterium_sp._MB3007_HUN140,5,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",88
GH13,Proteiniclasticum_ruminis_DSM_24773,7,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",87
